Step,GED,LCS
1,0.987012987012987,0.8527380952380954
2,0.9743589743589743,0.7953125
3,0.9620253164556962,0.8022321428571428
4,0.95,0.790126050420168
5,0.9382716049382716,0.7873949579831934
6,0.9156626506024097,0.7853991596638656
7,0.9047619047619048,0.7984243697478992
8,0.9047619047619048,0.7919117647058823
9,0.8941176470588236,0.7642857142857142
10,0.8837209302325582,0.7686507936507936
11,0.8735632183908046,0.7625939849624062
12,0.8636363636363636,0.7585526315789475
13,0.8539325842696629,0.7275
14,0.8444444444444444,0.7298214285714286
