Step,GED,BehavioralProfile
51,0.9523809523809523,0.9333333333333333
52,1.0,1.0
53,0.9523809523809523,1.0
54,0.9523809523809523,1.0
55,0.9523809523809523,1.0
56,0.9090909090909091,1.0
57,0.9523809523809523,1.0
58,0.9090909090909091,0.9666666666666667
59,0.9523809523809523,1.0
60,0.9090909090909091,0.9666666666666667
61,0.8571428571428572,0.9
62,0.9090909090909091,0.9666666666666667
63,0.8695652173913043,0.9666666666666667
64,0.782608695652174,0.9
65,0.8571428571428572,0.9
66,0.9090909090909091,0.9666666666666667
67,0.8695652173913043,0.9333333333333333
68,0.8333333333333334,0.9333333333333333
69,0.8695652173913043,0.9333333333333333
70,0.9090909090909091,0.9666666666666667
71,0.8695652173913043,0.9666666666666667
72,0.9090909090909091,0.9666666666666667
