Step,GED,LCS,BehavioralProfile
1,1.0,0.8999999999999999,1.0
2,0.9685534591194969,0.8706985294117644,1.0
3,0.9333333333333333,0.8229276315789478,1.0
4,0.9112426035502958,0.8035000000000003,1.0
5,0.8953488372093024,0.7938690476190474,1.0
6,0.8651685393258427,0.7886160714285715,1.0
7,0.8651685393258427,0.7910565476190475,1.0
8,0.8461538461538461,0.7764948593073593,1.0
9,0.8397790055248618,0.7805681818181817,1.0
10,0.8172043010752688,0.2922291666666667,0.08823529411764706
11,0.8,0.2770208333333333,0.11764705882352941
12,0.8,0.315,0.08823529411764706
